7499	2005-01-01	13
7521	2005-01-01	11
7654	2005-01-01	11
7844	2005-01-01	13
7499	2005-01-02	13
7521	2005-01-02	11
7654	2005-01-02	13
7844	2005-01-02	12
7369	2005-01-03	9
7499	2005-01-03	14
7521	2005-01-03	11
7566	2005-01-03	6
7654	2005-01-03	10
7698	2005-01-03	7
7782	2005-01-03	7
7788	2005-01-03	11
7839	2005-01-03	5
7844	2005-01-03	13
7876	2005-01-03	6
7900	2005-01-03	8
7902	2005-01-03	12
7934	2005-01-03	8
7369	2005-01-04	8
7499	2005-01-04	12
7521	2005-01-04	8
7566	2005-01-04	8
7654	2005-01-04	11
7698	2005-01-04	8
7782	2005-01-04	8
7788	2005-01-04	10
7839	2005-01-04	7
7844	2005-01-04	12
7876	2005-01-04	7
7900	2005-01-04	8
7902	2005-01-04	10
7934	2005-01-04	7
7369	2005-01-05	7
7499	2005-01-05	11
7521	2005-01-05	10
7566	2005-01-05	6
7654	2005-01-05	14
7698	2005-01-05	7
7782	2005-01-05	6
7788	2005-01-05	12
7839	2005-01-05	2
7844	2005-01-05	13
7876	2005-01-05	7
7900	2005-01-05	8
7902	2005-01-05	10
7934	2005-01-05	8
7369	2005-01-06	8
7499	2005-01-06	11
7521	2005-01-06	11
7566	2005-01-06	7
7654	2005-01-06	8
7698	2005-01-06	7
7782	2005-01-06	7
7788	2005-01-06	11
7839	2005-01-06	6
7844	2005-01-06	13
7876	2005-01-06	8
7900	2005-01-06	6
7902	2005-01-06	10
7934	2005-01-06	7
7369	2005-01-07	8
7499	2005-01-07	16
7521	2005-01-07	11
7566	2005-01-07	7
7654	2005-01-07	14
7698	2005-01-07	7
7782	2005-01-07	7
7788	2005-01-07	11
7839	2005-01-07	5
7844	2005-01-07	10
7876	2005-01-07	7
7900	2005-01-07	7
7902	2005-01-07	12
7934	2005-01-07	7
7499	2005-01-08	12
7521	2005-01-08	8
7654	2005-01-08	13
7844	2005-01-08	12
7499	2005-01-09	11
7521	2005-01-09	9
7654	2005-01-09	10
7844	2005-01-09	13
7369	2005-01-10	8
7499	2005-01-10	12
7521	2005-01-10	11
7566	2005-01-10	7
7654	2005-01-10	9
7698	2005-01-10	7
7782	2005-01-10	7
7788	2005-01-10	11
7839	2005-01-10	2
7844	2005-01-10	13
7876	2005-01-10	6
7900	2005-01-10	8
7902	2005-01-10	12
7934	2005-01-10	7
7369	2005-01-11	9
7499	2005-01-11	14
7521	2005-01-11	10
7566	2005-01-11	7
7654	2005-01-11	10
7698	2005-01-11	6
7782	2005-01-11	8
7788	2005-01-11	10
7839	2005-01-11	2
7844	2005-01-11	13
7876	2005-01-11	7
7900	2005-01-11	8
7902	2005-01-11	11
7934	2005-01-11	8
7369	2005-01-12	7
7499	2005-01-12	13
7521	2005-01-12	10
7566	2005-01-12	8
7654	2005-01-12	11
7698	2005-01-12	7
7782	2005-01-12	6
7788	2005-01-12	11
7839	2005-01-12	1
7844	2005-01-12	11
7876	2005-01-12	7
7900	2005-01-12	7
7902	2005-01-12	10
7934	2005-01-12	8
7369	2005-01-13	8
7499	2005-01-13	14
7521	2005-01-13	11
7566	2005-01-13	8
7654	2005-01-13	11
7698	2005-01-13	7
7782	2005-01-13	8
7788	2005-01-13	10
7839	2005-01-13	6
7844	2005-01-13	11
7876	2005-01-13	7
7900	2005-01-13	8
7902	2005-01-13	11
7934	2005-01-13	7
7369	2005-01-14	8
7499	2005-01-14	11
7521	2005-01-14	12
7566	2005-01-14	7
7654	2005-01-14	9
7698	2005-01-14	8
7782	2005-01-14	6
7788	2005-01-14	11
7839	2005-01-14	6
7844	2005-01-14	10
7876	2005-01-14	8
7900	2005-01-14	7
7902	2005-01-14	11
7934	2005-01-14	6
7499	2005-01-15	13
7521	2005-01-15	10
7654	2005-01-15	9
7844	2005-01-15	12
7499	2005-01-16	12
7521	2005-01-16	10
7654	2005-01-16	8
7844	2005-01-16	13
7369	2005-01-17	7
7499	2005-01-17	12
7521	2005-01-17	11
7566	2005-01-17	7
7654	2005-01-17	11
7698	2005-01-17	7
7782	2005-01-17	7
7788	2005-01-17	12
7839	2005-01-17	3
7844	2005-01-17	9
7876	2005-01-17	7
7900	2005-01-17	8
7902	2005-01-17	10
7934	2005-01-17	7
7369	2005-01-18	8
7499	2005-01-18	12
7521	2005-01-18	11
7566	2005-01-18	8
7654	2005-01-18	12
7698	2005-01-18	7
7782	2005-01-18	7
7788	2005-01-18	12
7839	2005-01-18	6
7844	2005-01-18	10
7876	2005-01-18	6
7900	2005-01-18	7
7902	2005-01-18	10
7934	2005-01-18	6
7369	2005-01-19	8
7499	2005-01-19	16
7521	2005-01-19	9
7566	2005-01-19	7
7654	2005-01-19	11
7698	2005-01-19	7
7782	2005-01-19	7
7788	2005-01-19	11
7839	2005-01-19	2
7844	2005-01-19	10
7876	2005-01-19	7
7900	2005-01-19	6
7902	2005-01-19	11
7934	2005-01-19	7
7369	2005-01-20	8
7499	2005-01-20	13
7521	2005-01-20	9
7566	2005-01-20	8
7654	2005-01-20	9
7698	2005-01-20	7
7782	2005-01-20	6
7788	2005-01-20	11
7839	2005-01-20	2
7844	2005-01-20	11
7876	2005-01-20	8
7900	2005-01-20	6
7902	2005-01-20	10
7934	2005-01-20	6
7369	2005-01-21	9
7499	2005-01-21	15
7521	2005-01-21	10
7566	2005-01-21	7
7654	2005-01-21	10
7698	2005-01-21	6
7782	2005-01-21	7
7788	2005-01-21	12
7839	2005-01-21	3
7844	2005-01-21	14
7876	2005-01-21	6
7900	2005-01-21	6
7902	2005-01-21	12
7934	2005-01-21	7
7499	2005-01-22	10
7521	2005-01-22	10
7654	2005-01-22	10
7844	2005-01-22	11
7499	2005-01-23	13
7521	2005-01-23	10
7654	2005-01-23	14
7844	2005-01-23	11
7369	2005-01-24	8
7499	2005-01-24	13
7521	2005-01-24	8
7566	2005-01-24	8
7654	2005-01-24	12
7698	2005-01-24	7
7782	2005-01-24	8
7788	2005-01-24	11
7839	2005-01-24	4
7844	2005-01-24	9
7876	2005-01-24	7
7900	2005-01-24	8
7902	2005-01-24	11
7934	2005-01-24	8
7369	2005-01-25	8
7499	2005-01-25	13
7521	2005-01-25	8
7566	2005-01-25	6
7654	2005-01-25	11
7698	2005-01-25	7
7782	2005-01-25	7
7788	2005-01-25	11
7839	2005-01-25	5
7844	2005-01-25	10
7876	2005-01-25	6
7900	2005-01-25	6
7902	2005-01-25	12
7934	2005-01-25	7
7369	2005-01-26	9
7499	2005-01-26	13
7521	2005-01-26	9
7566	2005-01-26	8
7654	2005-01-26	13
7698	2005-01-26	8
7782	2005-01-26	7
7788	2005-01-26	11
7839	2005-01-26	3
